Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2026/01/02 14:16:00,20,ACC_1327,10,ACC_1057,573.12,USD,573.12,USD,Cash,0
2026/01/22 02:23:35,20,ACC_1044,50,ACC_1303,3622.15,USD,3622.15,USD,Cash,0
2026/01/11 19:20:52,40,ACC_1013,20,ACC_1288,1590.09,USD,1590.09,USD,ACH,0
2026/02/10 12:07:50,20,ACC_1301,40,ACC_1142,1105.53,USD,1105.53,USD,Wire,0
2026/01/12 04:28:40,40,ACC_1142,10,ACC_1079,213.55,USD,213.55,USD,Wire,0
2026/01/31 06:14:45,50,ACC_1433,10,ACC_1176,213.52,USD,213.52,USD,ACH,0
2026/01/16 12:28:46,30,ACC_1040,50,ACC_1283,81.81,USD,81.81,USD,Credit Card,0
2026/01/03 14:48:39,10,ACC_1360,20,ACC_1035,2423.48,USD,2423.48,USD,Cheque,0
2026/01/24 03:15:55,30,ACC_1194,20,ACC_1142,1112.9,USD,1112.9,USD,Wire,0
2026/02/04 06:54:05,20,ACC_1359,50,ACC_1480,1487.5,USD,1487.5,USD,Credit Card,0
2026/01/20 20:05:22,20,ACC_1083,30,ACC_1237,34.96,USD,34.96,USD,Cheque,0
2026/01/03 00:56:30,10,ACC_1117,20,ACC_1421,4214.27,USD,4214.27,USD,Cash,0
2026/01/17 14:08:13,40,ACC_1448,20,ACC_1367,2153.72,USD,2153.72,USD,Wire,0
2026/02/07 23:15:59,50,ACC_1071,40,ACC_1127,296.43,USD,296.43,USD,Cash,0
2026/01/12 03:43:36,10,ACC_1204,10,ACC_1185,250.81,USD,250.81,USD,Cheque,0
2026/01/09 21:26:20,10,ACC_1078,40,ACC_1322,253.13,USD,253.13,USD,ACH,0
2026/01/28 04:51:13,10,ACC_1305,50,ACC_1239,445.3,USD,445.3,USD,Wire,0
2026/01/18 09:39:48,40,ACC_1393,10,ACC_1328,902.71,USD,902.71,USD,Wire,0
2026/02/08 19:19:22,30,ACC_1497,50,ACC_1256,688.64,USD,688.64,USD,Cash,0
2026/01/19 22:16:36,50,ACC_1101,10,ACC_1078,423.07,USD,423.07,USD,Cash,0
2026/01/02 11:19:12,30,ACC_1165,20,ACC_1251,1145.65,USD,1145.65,USD,Cheque,0
2026/01/29 10:55:27,40,ACC_1123,10,ACC_1450,190.28,USD,190.28,USD,Cash,0
2026/01/08 01:39:21,30,ACC_1392,50,ACC_1064,424.62,USD,424.62,USD,Cash,0
2026/01/12 07:58:14,20,ACC_1216,30,ACC_1494,557.53,USD,557.53,USD,ACH,0
2026/01/20 08:34:23,20,ACC_1343,20,ACC_1332,740.72,USD,740.72,USD,Cheque,0
2026/01/30 17:35:27,10,ACC_1173,10,ACC_1010,1855.52,USD,1855.52,USD,Cheque,0
2026/02/15 16:34:46,20,ACC_1117,30,ACC_1034,277.28,USD,277.28,USD,ACH,0
2026/01/08 09:22:57,20,ACC_1109,40,ACC_1277,876.43,USD,876.43,USD,ACH,0
2026/01/06 09:41:28,40,ACC_1097,40,ACC_1048,1087.01,USD,1087.01,USD,Cheque,0
2026/02/19 08:03:18,30,ACC_1344,10,ACC_1334,67.08,USD,67.08,USD,Credit Card,0
2026/01/27 23:59:45,30,ACC_1098,40,ACC_1097,1132.4,USD,1132.4,USD,Credit Card,0
2026/01/05 11:33:45,50,ACC_1447,10,ACC_1473,234.35,USD,234.35,USD,Cheque,0
2026/02/12 15:52:36,40,ACC_1474,20,ACC_1385,90.72,USD,90.72,USD,ACH,0
2026/01/09 05:58:08,40,ACC_1462,30,ACC_1030,3578.43,USD,3578.43,USD,ACH,0
2026/02/07 06:19:07,40,ACC_1356,20,ACC_1491,4054.76,USD,4054.76,USD,Credit Card,0
2026/02/19 05:14:38,10,ACC_1151,30,ACC_1111,1992.8,USD,1992.8,USD,Cheque,0
2026/01/25 12:18:49,50,ACC_1025,10,ACC_1300,445.95,USD,445.95,USD,Credit Card,0
2026/01/04 16:58:17,50,ACC_1035,20,ACC_1305,133.33,USD,133.33,USD,Cash,0
2026/02/01 12:58:05,50,ACC_1304,50,ACC_1020,1393.3,USD,1393.3,USD,Wire,0
2026/01/12 03:26:54,30,ACC_1478,40,ACC_1133,706.11,USD,706.11,USD,Credit Card,0
2026/01/16 10:59:35,10,ACC_1343,10,ACC_1330,166.18,USD,166.18,USD,ACH,0
2026/02/19 21:53:09,50,ACC_1318,30,ACC_1288,830.26,USD,830.26,USD,Credit Card,0
2026/02/14 08:25:31,20,ACC_1477,40,ACC_1178,51.99,USD,51.99,USD,Cash,0
2026/02/01 10:33:47,50,ACC_1360,30,ACC_1154,2890.51,USD,2890.51,USD,Cheque,0
2026/01/07 21:05:03,50,ACC_1480,20,ACC_1449,369.35,USD,369.35,USD,Wire,0
2026/01/11 22:59:03,30,ACC_1144,50,ACC_1310,1313.51,USD,1313.51,USD,ACH,0
2026/02/15 10:53:07,40,ACC_1128,30,ACC_1464,458.26,USD,458.26,USD,Cheque,0
2026/02/09 09:36:45,40,ACC_1001,50,ACC_1171,890.93,USD,890.93,USD,ACH,0
2026/01/07 13:12:04,50,ACC_1287,10,ACC_1004,959.47,USD,959.47,USD,Wire,0
2026/01/08 13:45:04,30,ACC_1298,10,ACC_1282,255.27,USD,255.27,USD,Wire,0
2026/01/13 14:48:57,50,ACC_1107,40,ACC_1350,4201.37,USD,4201.37,USD,Cash,0
2026/02/16 14:50:09,20,ACC_1383,40,ACC_1079,1800.69,USD,1800.69,USD,Cheque,0
2026/02/16 19:14:47,20,ACC_1091,30,ACC_1378,3376.11,USD,3376.11,USD,Credit Card,0
2026/01/06 11:37:23,20,ACC_1403,20,ACC_1359,2712.58,USD,2712.58,USD,ACH,0
2026/02/11 07:52:38,20,ACC_1179,40,ACC_1156,1103.27,USD,1103.27,USD,Wire,0
2026/01/04 19:40:58,50,ACC_1142,40,ACC_1443,3069.32,USD,3069.32,USD,Cash,0
2026/01/02 17:18:51,30,ACC_1169,10,ACC_1481,121.19,USD,121.19,USD,Cheque,0
2026/01/18 17:17:06,50,ACC_1305,10,ACC_1222,271.76,USD,271.76,USD,ACH,0
2026/01/10 13:51:07,10,ACC_1460,50,ACC_1295,65.54,USD,65.54,USD,Cash,0
2026/02/18 00:01:08,30,ACC_1351,40,ACC_1369,482.24,USD,482.24,USD,Cheque,0
2026/02/16 20:16:12,10,ACC_1485,30,ACC_1340,600.56,USD,600.56,USD,Cash,0
2026/01/21 22:48:35,50,ACC_1158,20,ACC_1342,389.87,USD,389.87,USD,Credit Card,0
2026/02/17 22:14:08,20,ACC_1215,50,ACC_1341,2127.47,USD,2127.47,USD,Cash,0
2026/01/28 09:50:46,20,ACC_1154,40,ACC_1208,539.47,USD,539.47,USD,Cash,0
2026/01/17 17:10:39,20,ACC_1310,50,ACC_1336,405.76,USD,405.76,USD,ACH,0
2026/02/18 22:58:36,10,ACC_1406,30,ACC_1462,948.89,USD,948.89,USD,Cash,0
2026/02/01 01:59:34,20,ACC_1339,30,ACC_1324,192.28,USD,192.28,USD,Credit Card,0
